対象県（富山/石川/福井）	アンケート回答日	居住都道府県	性別	年代	職業	世帯年収	同伴者	満足度（旅行全体）	満足度理由	おすすめ度	回答場所
福井	2025/5/13 6:33	愛知県	男	60代		1,000万円以上 1,200万円未満	職場の同僚	3		7	福井駅前 エリア（宿泊施設）
福井	2025/5/14 23:51	福井県	男	70代		200万円以上 300万円未満	夫婦2人	4	地元の特産物を販売していて、楽しめた。	10	花の駅 ゆりの里公園 エリア
福井	2025/5/14 22:44	愛知県	女	40代		600万円以上 700万円未満	小学生中学生高校生連れの家族	5	上に書いた通りです。橋の支払いの窓口の方もとても感じのよい方で｢今日はどちらからお越しですか？はるばるよくおこしくださりましたね、何回でも渡れるから楽しんでいってね｣と私にも子どもたちにも優しい声をかけて下さって、なんというか、こういう美しい自然がとても似合う温かい方ばかりだなと改めて福井が好きになりました。	10	かずら橋 エリア
福井	2025/5/14 22:28	福井県	男	40代		400万円以上 500万円未満	自分ひとり	4		3	だるまちゃん広場 エリア
福井	2025/5/14 22:13	滋賀県	男	40代		600万円以上 700万円未満	小学生以下連れの家族	5	ロケーションや、歴史的建造物などが素晴らしい。	8	河野北前船主通りエリア
福井	2025/5/14 17:36	福井県	女	60代		200万円以上 300万円未満	その他家族	4		6	北潟湖 エリア
福井	2025/5/14 15:07	福井県	女	20代		分からない/無回答	自分ひとり	4		8	あわら湯のまち エリア
福井	2025/5/14 15:05	福井県	女	30代		600万円以上 700万円未満	その他家族	4		5	道の駅「南えちぜん山海里」 エリア
福井	2025/5/14 14:59	福井県	男	30代		600万円以上 700万円未満	小学生以下連れの家族	3		5	道の駅「南えちぜん山海里」 エリア
福井	2025/5/14 14:52	福井県	女	20代		分からない/無回答	親	5		10	道の駅「三方五湖」  エリア
福井	2025/5/14 13:54	茨城県	女	40代		100万円以上 200万円未満	恋人	4		8	かずら橋 エリア
福井	2025/5/14 13:34	石川県	女	30代		100万円未満	恋人	5		10	かずら橋 エリア
福井	2025/5/14 13:27	福井県	女	60代		300万円以上 400万円未満	職場の同僚	4		8	道の駅みくに ふれあいパーク三里浜 エリア
福井	2025/5/14 13:27	福井県	女	30代		700万円以上 800万円未満	自分ひとり	5		8	道の駅みくに ふれあいパーク三里浜 エリア
福井	2025/5/14 13:19	京都府	男	50代		400万円以上 500万円未満	自分ひとり	3		9	道の駅「禅の里」 エリア
福井	2025/5/14 12:44	福井県	女	50代		600万円以上 700万円未満	親	4		3	越前そばの里 エリア
福井	2025/5/14 12:40	京都府	男	50代		400万円以上 500万円未満	自分ひとり	4		9	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/5/14 12:30	神奈川県	男	20代		400万円以上 500万円未満	その他家族	5		10	大本山 永平寺 エリア
福井	2025/5/14 12:28	福井県	女	20代		分からない/無回答	親	5		10	レインボーライン エリア
福井	2025/5/14 12:12	岡山県	女	50代		200万円以上 300万円未満	恋人	4		8	道の駅「禅の里」 エリア
福井	2025/5/14 12:08	大阪府	男	40代		300万円以上 400万円未満	自分ひとり	5		8	平泉寺白山神社 エリア
福井	2025/5/14 11:27	京都府	女	40代		100万円以上 200万円未満	中学生以上連れの家族	5	お土産も充実してた	10	越前そばの里 エリア
福井	2025/5/14 11:22	福井県	女	20代		400万円以上 500万円未満	小学生以下連れの家族	5		10	だるまちゃん広場 エリア
福井	2025/5/14 11:08	福井県	女	50代		300万円以上 400万円未満	夫婦2人	4		9	越前そばの里 エリア
福井	2025/5/14 10:57	福井県	女	50代		100万円未満	夫婦2人	4		8	劔神社 エリア
福井	2025/5/14 10:57	福井県	男	60代		600万円以上 700万円未満	夫婦2人	3		7	劔神社 エリア
福井	2025/5/14 10:49	福井県	男	30代		300万円以上 400万円未満	恋人	5		10	越前そばの里 エリア
福井	2025/5/14 10:37	福井県	女	50代		800万円以上 900万円未満	団体旅行	3		9	越前陶芸村 エリア
福井	2025/5/14 10:16	愛知県	男	70代		300万円以上 400万円未満	夫婦2人	4		7	大本山 永平寺 エリア
福井	2025/5/14 9:31	京都府	男	50代		400万円以上 500万円未満	自分ひとり	4		9	一乗谷朝倉氏遺跡 エリア
福井	2025/5/14 9:18	滋賀県	男	30代		600万円以上 700万円未満	小学生以下連れの家族	5		10	あわら湯のまち エリア
福井	2025/5/14 9:10	福井県	女	50代		200万円以上 300万円未満	自分ひとり	5		10	大本山 永平寺 エリア
福井	2025/5/14 9:01	東京都	女	50代		900万円以上 1,000万円未満	夫婦2人	4		8	大本山 永平寺 エリア
福井	2025/5/14 8:53	静岡県	無回答	80歳以上		100万円以上 200万円未満	その他家族	5	道の駅がとても綺麗で清潔。掃除の女性が一所懸命で好感が持てる。	10	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/5/14 7:25	兵庫県	男	50代		600万円以上 700万円未満	団体旅行	5		10	あわら湯のまち エリア
福井	2025/5/14 7:23	福井県	男	60代		500万円以上 600万円未満	職場の同僚	4		10	あわら湯のまち エリア
福井	2025/5/14 5:52	大阪府	女	60代		1,000万円以上 1,200万円未満	親	5	店員の方たちが、とても親切だった。店内、トイレなど清潔だった。	10	越前そばの里 エリア
福井	2025/5/15 23:27	北海道	女	60代		100万円以上 200万円未満	自分ひとり	5		10	福井駅前 エリア
福井	2025/5/15 22:33	新潟県	女	50代		1,000万円以上 1,200万円未満	自分ひとり	5	キャッシュレスで支払いができるので便利です。	10	福井駅前 エリア
福井	2025/5/15 22:20	愛知県	女	60代		300万円以上 400万円未満	夫婦2人	5	見どころのある素晴らしい施設	10	河野北前船主通りエリア
福井	2025/5/15 21:52	京都府	女	50代		100万円未満	親	4	新緑とお花がとてもきれいで良かったです。	7	かずら橋 エリア
福井	2025/5/15 21:47	京都府	女	50代		400万円以上 500万円未満	夫婦2人	4		9	越前そばの里 エリア
福井	2025/5/15 20:44	千葉県	男	60代		300万円以上 400万円未満	夫婦2人	4	初めて来ました店が閉まっていましたが今度は開いている時間に来たいと思える施設ですね	9	道の駅「越前おおの荒島の郷」 エリア
福井	2025/5/15 19:58	千葉県	女	50代		400万円以上 500万円未満	自分ひとり	3	好みの問題です。	1	越前大仏 エリア
福井	2025/5/15 19:18	福井県	男	50代		1,000万円以上 1,200万円未満	自分ひとり	4		8	越前大野城・城下町 エリア
福井	2025/5/15 19:16	福井県	男	70代		200万円以上 300万円未満	夫婦2人	4	竹田水車メロディパークはわたし的には他で見たことがなく自然のなかで流れるメロディに心地よい気分になりました  自分で曲を奏でることもできるのが良いですね	1	竹田エリア
福井	2025/5/15 18:43	福井県	男	60代		300万円以上 400万円未満	夫婦2人	5		10	道の駅「越前」 エリア
福井	2025/5/15 17:48	福井県	女	60代		100万円未満	夫婦2人	4		7	道の駅「越前」 エリア
福井	2025/5/15 17:03	埼玉県	男	60代		300万円以上 400万円未満	夫婦2人	3		8	越前松島水族館 エリア
福井	2025/5/15 16:47	福井県	女	60代		300万円以上 400万円未満	夫婦2人	3		7	武生駅 エリア
福井	2025/5/15 16:01	茨城県	女	30代		100万円以上 200万円未満	親	4		7	越前そばの里 エリア
福井	2025/5/15 15:14	埼玉県	女	60代		500万円以上 600万円未満	夫婦2人	3		5	大本山 永平寺 エリア
福井	2025/5/15 15:06	埼玉県	男	70代		400万円以上 500万円未満	団体旅行	4		2	大本山 永平寺 エリア
福井	2025/5/15 14:39	石川県	男	30代		400万円以上 500万円未満	自分ひとり	3		6	JR美浜駅 エリア
福井	2025/5/15 14:25	石川県	女	60代		100万円以上 200万円未満	夫婦2人	4		8	JR美浜駅 エリア
福井	2025/5/15 13:50	京都府	男	40代		400万円以上 500万円未満	夫婦2人	5		8	若狭フィッシャーマンズワーフ エリア
福井	2025/5/15 13:25	千葉県	男	60代		300万円以上 400万円未満	夫婦2人	5	恐竜の化石最高です!。次回は発掘体験をしたい	10	かつやま恐竜の森 エリア
福井	2025/5/15 13:13	福井県	女	50代		100万円未満	夫婦2人	4		8	越前陶芸村 エリア
福井	2025/5/15 13:13	福井県	男	60代		600万円以上 700万円未満	夫婦2人	4		7	越前陶芸村 エリア
福井	2025/5/15 13:01	大阪府	女	50代		100万円以上 200万円未満	恋人	4		7	湖上館パムコ（水月湖）エリア
福井	2025/5/15 13:01	福井県	男	50代		分からない/無回答	親	5	美味しい	3	越前そばの里 エリア
福井	2025/5/15 12:48	茨城県	女	30代		100万円以上 200万円未満	親	5		7	大本山 永平寺 エリア
福井	2025/5/15 12:41	大阪府	男	40代		100万円以上 200万円未満	恋人	5		10	湖上館パムコ（水月湖）エリア
福井	2025/5/15 12:28	福井県	男	50代		分からない/無回答	友人	1		4	ふくい鮮いちば エリア
福井	2025/5/15 12:21	福井県	男	60代		600万円以上 700万円未満	夫婦2人	4		7	北陸新幹線 越前たけふ駅 エリア
福井	2025/5/15 12:21	福井県	女	50代		100万円未満	夫婦2人	4		8	北陸新幹線 越前たけふ駅 エリア
福井	2025/5/15 12:19	福井県	男	40代		700万円以上 800万円未満	自分ひとり	4		8	武生駅 エリア
福井	2025/5/15 12:19	福井県	男	20代		分からない/無回答	自分ひとり	5		10	JR美浜駅 エリア
福井	2025/5/15 12:18	京都府	男	70代		分からない/無回答	夫婦2人	4		5	大本山 永平寺 エリア
福井	2025/5/15 12:16	富山県	男	50代		500万円以上 600万円未満	自分ひとり	5	お土産売り場の充実	10	越前そばの里 エリア
福井	2025/5/15 12:09	埼玉県	男	60代		100万円以上 200万円未満	夫婦2人	4		10	JR芦原温泉駅 エリア
福井	2025/5/15 11:57	大阪府	男	60代		500万円以上 600万円未満	自分ひとり	4		7	越前そばの里 エリア
福井	2025/5/15 11:50	石川県	男	50代		分からない/無回答	自分ひとり	4		7	福井駅前 エリア（宿泊施設）
福井	2025/5/15 11:30	愛知県	男	50代		1,000万円以上 1,200万円未満	自分ひとり	4		8	越前そばの里 エリア
福井	2025/5/15 11:21	長野県	女	50代		500万円以上 600万円未満	夫婦2人	5	博物館は見がいがありとても良かった	10	かつやま恐竜の森 エリア
福井	2025/5/15 11:17	長野県	女	50代		500万円以上 600万円未満	夫婦2人	4	スケールが大きく見がいがある	7	越前大仏 エリア
福井	2025/5/15 11:17	茨城県	女	30代		100万円以上 200万円未満	親	5		8	かつやま恐竜の森 エリア
福井	2025/5/15 11:04	福井県	男	60代		100万円未満	自分ひとり	3		5	道の駅「西山公園」 エリア
福井	2025/5/15 10:56	長野県	女	50代		500万円以上 600万円未満	夫婦2人	4		8	越前大野城・城下町 エリア
福井	2025/5/15 10:50	長野県	女	50代		500万円以上 600万円未満	夫婦2人	4		6	越前陶芸村 エリア
福井	2025/5/15 10:43	長野県	女	50代		500万円以上 600万円未満	夫婦2人	5	丁寧に説明して頂いた	10	河野北前船主通りエリア
福井	2025/5/15 7:43	東京都	女	40代		100万円未満	自分ひとり	4		10	JR敦賀駅前 エリア
福井	2025/5/15 7:36	埼玉県	男	50代		分からない/無回答	職場の同僚	3		8	JR敦賀駅前 エリア
福井	2025/5/15 6:36	愛知県	男	40代		500万円以上 600万円未満	自分ひとり	5		10	名勝 養浩館庭園 エリア
福井	2025/5/15 6:35	愛知県	男	40代		500万円以上 600万円未満	自分ひとり	5		10	福井駅前 エリア
福井	2025/5/15 6:34	愛知県	男	40代		500万円以上 600万円未満	自分ひとり	5		10	北ノ庄 エリア
福井	2025/5/15 6:33	愛知県	男	40代		500万円以上 600万円未満	自分ひとり	5		10	道の駅「南えちぜん山海里」 エリア
福井	2025/5/15 6:33	愛知県	男	40代		500万円以上 600万円未満	自分ひとり	5		10	一乗谷朝倉氏遺跡 エリア
福井	2025/5/15 1:38	滋賀県	女	50代		200万円以上 300万円未満	友人	4		9	まちの市場 こってコテいけだ エリア
福井	2025/5/15 1:36	滋賀県	女	50代		200万円以上 300万円未満	友人	5		9	道の駅「越前おおの荒島の郷」 エリア
福井	2025/5/16 22:40	千葉県	男	30代		100万円未満	自分ひとり	4	期待通りだったため	7	明通寺 エリア
福井	2025/5/16 22:16	北海道	男	60代		200万円以上 300万円未満	夫婦2人	4	美松に宿泊してコスパ的に非常に満足	7	あわら湯のまち エリア
福井	2025/5/16 22:08	埼玉県	女	40代		400万円以上 500万円未満	その他家族	5		9	小浜 エリア（宿泊施設）
福井	2025/5/16 21:22	愛知県	女	40代		分からない/無回答	その他家族	5		10	レインボーライン エリア
福井	2025/5/16 21:11	愛知県	女	60代		700万円以上 800万円未満	親	4		8	道の駅「シーサイド高浜」 エリア
福井	2025/5/16 21:07	愛知県	女	60代		700万円以上 800万円未満	親	4		9	道の駅「若狭おばま」 エリア
福井	2025/5/16 21:00	愛知県	女	60代		700万円以上 800万円未満	親	4		8	道の駅「三方五湖」  エリア
福井	2025/5/16 20:44	愛知県	男	30代		400万円以上 500万円未満	恋人	4		7	河野北前船主通りエリア
福井	2025/5/16 18:37	福井県	男	50代		400万円以上 500万円未満	小学生以下連れの家族	5		10	花の駅 ゆりの里公園 エリア
福井	2025/5/16 16:04	京都府	女	50代		分からない/無回答	自分ひとり	4		9	まちの市場 こってコテいけだ エリア
福井	2025/5/16 15:35	京都府	女	50代		分からない/無回答	自分ひとり	4		8	かずら橋 エリア
福井	2025/5/16 14:35	福井県	男	40代		1,000万円以上 1,200万円未満	中学生以上連れの家族	5		10	北潟湖 エリア
福井	2025/5/16 14:23	福井県	男	20代		100万円以上 200万円未満	自分ひとり	4		8	越前大野城・城下町 エリア
福井	2025/5/16 14:15	大阪府	男	60代		700万円以上 800万円未満	夫婦2人	4		8	越前そばの里 エリア
福井	2025/5/16 14:08	京都府	無回答	60代		分からない/無回答	自分ひとり	4		7	福井駅前 エリア
福井	2025/5/16 13:54	愛知県	女	50代		1,200万円以上 1,500万円未満	小学生以下連れの家族	5		5	かつやま恐竜の森 エリア
福井	2025/5/16 13:40	石川県	男	20代		100万円未満	親	4		0	かつやま恐竜の森 エリア
福井	2025/5/16 13:39	石川県	女	20代		100万円未満	恋人	5		10	かつやま恐竜の森 エリア
福井	2025/5/16 12:54	福井県	男	20代		300万円以上 400万円未満	夫婦2人	5		10	越前そばの里 エリア
福井	2025/5/16 12:31	兵庫県	男	50代		1,000万円以上 1,200万円未満	自分ひとり	5		8	越前そばの里 エリア
福井	2025/5/16 12:21	福井県	女	60代		300万円以上 400万円未満	夫婦2人	3		8	JR九頭竜湖駅 エリア
福井	2025/5/16 12:04	福井県	女	50代		400万円以上 500万円未満	その他家族	5	リーズナブルで満足度のとても高い食事ができる	9	越前そばの里 エリア
福井	2025/5/16 11:54	和歌山県	女	60代		800万円以上 900万円未満	夫婦2人	4		8	大本山 永平寺 エリア
福井	2025/5/16 11:35	福井県	男	60代		1,200万円以上 1,500万円未満	自分ひとり	4		7	越前陶芸村 エリア
福井	2025/5/16 11:34	愛知県	女	60代		100万円未満	夫婦2人	5	思っていたより交通が便利で早く到着できた	10	大本山 永平寺 エリア
福井	2025/5/16 11:10	福井県	男	50代		500万円以上 600万円未満	その他家族	4		5	竹田エリア
福井	2025/5/16 10:29	大阪府	女	60代		100万円未満	夫婦2人	4		8	道の駅「越前おおの荒島の郷」 エリア
福井	2025/5/16 8:35	千葉県	女	40代		100万円未満	夫婦2人	4		10	福井駅前 エリア（宿泊施設）
福井	2025/5/16 7:59	埼玉県	女	60代		200万円以上 300万円未満	夫婦2人	4	素敵にリノベーションされていることと、保存地区で泊まれること。	8	小浜 エリア（宿泊施設）
福井	2025/5/16 7:23	静岡県	男	40代		1,200万円以上 1,500万円未満	中学生以上連れの家族	4		6	一乗谷朝倉氏遺跡 エリア
福井	2025/5/16 7:05	東京都	男	50代		1,000万円以上 1,200万円未満	自分ひとり	4		9	福井駅前 エリア（宿泊施設）
福井	2025/5/16 1:34	福井県	男	30代		1,500万円以上	自分ひとり	4		5	JR美浜駅 エリア
福井	2025/5/16 0:44	大阪府	女	60代		100万円未満	夫婦2人	5	案内板が多くて分かりやすく、ツーリストインフォメーションも利用しました。施設全体が整備されていて、清潔で快適に観光や参拝ができました。	10	大本山 永平寺 エリア
福井	2025/5/17 23:40	神奈川県	男	20代		700万円以上 800万円未満	友人	4	ルポの森はグランピングを通して自然豊かで都会にはない体験ができる良い場所でした。	7	一乗谷朝倉氏遺跡 エリア
福井	2025/5/17 22:32	愛知県	女	40代		200万円以上 300万円未満	その他家族	4		8	大本山 永平寺 エリア
福井	2025/5/17 22:10	北海道	女	60代		100万円以上 200万円未満	自分ひとり	5		10	福井駅前 エリア（宿泊施設）
福井	2025/5/17 21:07	兵庫県	女	40代		400万円以上 500万円未満	夫婦2人	5		10	福井駅前 エリア（宿泊施設）
福井	2025/5/17 21:06	山口県	女	50代		700万円以上 800万円未満	中学生以上連れの家族	5	旅館が素晴らしかった	9	越前海岸 くりや旅館街 エリア
福井	2025/5/17 20:57	兵庫県	男	60代		200万円以上 300万円未満	夫婦2人	5	ゆったりできる	10	福井駅前 エリア（宿泊施設）
福井	2025/5/17 20:28	福岡県	女	30代		700万円以上 800万円未満	友人	5	永平寺をここまで細かく参拝させていただけるとは思っていなかったので、その良いギャップがあったから。	8	大本山 永平寺 エリア
福井	2025/5/17 20:08	神奈川県	女	60代		100万円以上 200万円未満	自分ひとり	5		10	紫式部公園 エリア
福井	2025/5/17 19:37	千葉県	男	20代		400万円以上 500万円未満	恋人	4		9	越前海岸 北部 エリア
福井	2025/5/17 19:24	東京都	女	60代		分からない/無回答	夫婦2人	4		8	道の駅「南えちぜん山海里」 エリア
福井	2025/5/17 19:15	東京都	男	50代		1,200万円以上 1,500万円未満	自分ひとり	5	ちなみえきの本の分類や充実度には感激しました。	10	JR敦賀駅前 エリア
福井	2025/5/17 19:01	千葉県	女	60代		1,500万円以上	その他家族	4		10	かずら橋 エリア
福井	2025/5/17 19:00	千葉県	女	50代		100万円未満	その他家族	5	心から楽しめる、池田に帰ってくるとホッとする	10	かずら橋 エリア
福井	2025/5/17 18:32	福井県	女	40代		400万円以上 500万円未満	小学生以下連れの家族	4		8	道の駅「越前おおの荒島の郷」 エリア
福井	2025/5/17 18:30	福井県	女	40代		400万円以上 500万円未満	小学生以下連れの家族	4		8	はたや記念館 ゆめおーれ勝山 エリア
福井	2025/5/17 18:28	福井県	女	50代		分からない/無回答	夫婦2人	4	昔ながらを維持	6	はたや記念館 ゆめおーれ勝山 エリア
福井	2025/5/17 18:19	愛知県	男	60代		500万円以上 600万円未満	夫婦2人	4		6	福井駅前 エリア
福井	2025/5/17 18:09	滋賀県	女	60代		800万円以上 900万円未満	夫婦2人	4		8	越前そばの里 エリア
福井	2025/5/17 18:00	神奈川県	女	20代		200万円以上 300万円未満	その他家族	5		9	かつやま恐竜の森 エリア
福井	2025/5/17 17:56	大阪府	女	30代		分からない/無回答	友人	4		9	大本山 永平寺 エリア
福井	2025/5/17 17:50	福井県	女	70代		100万円以上 200万円未満	その他家族	4	品数が多い	7	越前そばの里 エリア
福井	2025/5/17 17:22	京都府	女	60代		100万円以上 200万円未満	夫婦2人	4		5	名田庄 エリア
福井	2025/5/17 17:19	福井県	男	70代		200万円以上 300万円未満	夫婦2人	4		6	越前そばの里 エリア
福井	2025/5/17 17:18	京都府	男	60代		500万円以上 600万円未満	夫婦2人	3		3	名田庄 エリア
福井	2025/5/17 17:16	宮城県	女	40代		900万円以上 1,000万円未満	友人	4		8	大本山 永平寺 エリア
福井	2025/5/17 17:12	福井県	女	50代		100万円未満	夫婦2人	5		8	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/5/17 16:57	兵庫県	女	20代		100万円以上 200万円未満	小学生以下連れの家族	5		10	かつやま恐竜の森 エリア
福井	2025/5/17 16:52	福井県	女	40代		700万円以上 800万円未満	自分ひとり	5		10	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/5/17 16:51	大阪府	女	30代		700万円以上 800万円未満	親	3		5	越前海岸 くりや旅館街 エリア
福井	2025/5/17 16:29	京都府	男	60代		500万円以上 600万円未満	夫婦2人	3		3	道の駅「若狭おばま」 エリア
福井	2025/5/17 16:27	京都府	女	60代		100万円以上 200万円未満	夫婦2人	3		8	道の駅「若狭おばま」 エリア
福井	2025/5/17 16:27	兵庫県	女	50代		300万円以上 400万円未満	友人	4		9	金ヶ崎 エリア
福井	2025/5/17 16:25	福井県	女	50代		分からない/無回答	夫婦2人	4		9	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/5/17 16:14	福井県	女	50代		1,000万円以上 1,200万円未満	その他家族	5		10	かずら橋 エリア
福井	2025/5/17 16:12	兵庫県	女	30代		1,500万円以上	親	5		9	越前海岸 くりや旅館街 エリア
福井	2025/5/17 16:10	京都府	男	60代		500万円以上 600万円未満	夫婦2人	3		3	明通寺 エリア
福井	2025/5/17 16:10	福井県	男	50代		分からない/無回答	自分ひとり	5		10	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/5/17 16:09	福井県	男	60代		200万円以上 300万円未満	夫婦2人	5		10	はたや記念館 ゆめおーれ勝山 エリア
福井	2025/5/17 16:09	京都府	女	60代		100万円以上 200万円未満	夫婦2人	3		2	明通寺 エリア
福井	2025/5/17 16:03	福井県	男	20代		100万円未満	その他家族	5		10	かつやま恐竜の森 エリア
福井	2025/5/17 15:58	福井県	女	30代		400万円以上 500万円未満	小学生以下連れの家族	4		8	花の駅 ゆりの里公園 エリア
福井	2025/5/17 15:54	福井県	女	60代		200万円以上 300万円未満	夫婦2人	5		8	はたや記念館 ゆめおーれ勝山 エリア
福井	2025/5/17 15:51	福井県	女	60代		400万円以上 500万円未満	夫婦2人	5		6	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/5/17 15:51	福井県	男	60代		300万円以上 400万円未満	夫婦2人	5		10	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/5/17 15:44	京都府	女	40代		100万円未満	その他家族	5		9	レインボーライン エリア
福井	2025/5/17 15:33	福井県	男	60代		300万円以上 400万円未満	夫婦2人	4		10	はたや記念館 ゆめおーれ勝山 エリア
福井	2025/5/17 15:33	埼玉県	女	50代		500万円以上 600万円未満	友人	4		5	あわら湯のまち エリア
福井	2025/5/17 15:32	福井県	女	60代		400万円以上 500万円未満	夫婦2人	5		6	はたや記念館 ゆめおーれ勝山 エリア
福井	2025/5/17 15:23	滋賀県	男	60代		600万円以上 700万円未満	夫婦2人	4		10	道の駅「南えちぜん山海里」 エリア
福井	2025/5/17 15:12	福井県	男	40代		700万円以上 800万円未満	自分ひとり	3		8	越前松島水族館 エリア
福井	2025/5/17 14:46	福井県	女	60代		300万円以上 400万円未満	夫婦2人	4		8	越前大野城・城下町 エリア
福井	2025/5/17 14:45	福井県	女	50代		分からない/無回答	夫婦2人	4		7	越前大野城・城下町 エリア
福井	2025/5/17 14:45	京都府	女	50代		500万円以上 600万円未満	中学生以上連れの家族	4	観光案内所がきれい。トイレもきれいで使いやすい。	9	越前大野城・城下町 エリア
福井	2025/5/17 14:44	福井県	男	50代		分からない/無回答	自分ひとり	5		10	越前大野城・城下町 エリア
福井	2025/5/17 14:41	千葉県	男	20代		400万円以上 500万円未満	恋人	5		10	越前大野城・城下町 エリア
福井	2025/5/17 14:35	京都府	男	60代		500万円以上 600万円未満	夫婦2人	4		5	湖上館パムコ（水月湖）エリア
福井	2025/5/17 14:35	京都府	女	60代		100万円以上 200万円未満	夫婦2人	3		5	湖上館パムコ（水月湖）エリア
福井	2025/5/17 14:32	富山県	男	30代		300万円以上 400万円未満	その他家族	5		10	かつやま恐竜の森 エリア
福井	2025/5/17 14:27	福井県	男	60代		300万円以上 400万円未満	夫婦2人	4		10	越前大野城・城下町 エリア
福井	2025/5/17 14:24	京都府	女	40代		100万円未満	その他家族	4		5	金ヶ崎 エリア
福井	2025/5/17 14:22	福井県	男	50代		200万円以上 300万円未満	その他家族	3		7	JR九頭竜湖駅 エリア
福井	2025/5/17 14:22	京都府	女	50代		分からない/無回答	自分ひとり	4	珍しいフードがあったから	9	道の駅「若狭おばま」 エリア
福井	2025/5/17 14:22	和歌山県	男	40代		300万円以上 400万円未満	小学生以下連れの家族	5	とても綺麗で見やすかったです	10	かつやま恐竜の森 エリア
福井	2025/5/17 14:22	福井県	女	60代		400万円以上 500万円未満	夫婦2人	5		6	越前大野城・城下町 エリア
福井	2025/5/17 14:15	福井県	女	50代		分からない/無回答	夫婦2人	4		8	JR美浜駅 エリア
福井	2025/5/17 14:09	兵庫県	女	50代		300万円以上 400万円未満	友人	4	景色が良い	9	道の駅「三方五湖」  エリア
福井	2025/5/17 14:04	静岡県	女	50代		1,000万円以上 1,200万円未満	その他家族	3		5	かつやま恐竜の森 エリア
福井	2025/5/17 14:02	静岡県	女	30代		1,000万円以上 1,200万円未満	親	4		10	かつやま恐竜の森 エリア
福井	2025/5/17 13:59	富山県	男	30代		300万円以上 400万円未満	その他家族	4		7	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/5/17 13:58	福井県	男	30代		500万円以上 600万円未満	夫婦2人	4		8	道の駅「西山公園」 エリア
福井	2025/5/17 13:58	福井県	女	70代		200万円以上 300万円未満	その他家族	4		8	越前海岸 北部 エリア
福井	2025/5/17 13:53	福井県	男	30代		1,500万円以上	小学生以下連れの家族	5		10	越前そばの里 エリア
福井	2025/5/17 13:52	大阪府	男	60代		600万円以上 700万円未満	夫婦2人	4		7	若狭海遊バザール 千鳥苑 エリア
福井	2025/5/17 13:47	富山県	男	40代		600万円以上 700万円未満	自分ひとり	5		9	越前大野城・城下町 エリア
福井	2025/5/17 13:36	滋賀県	女	50代		100万円以上 200万円未満	夫婦2人	4		9	道の駅「三方五湖」  エリア
福井	2025/5/17 13:33	京都府	女	50代		分からない/無回答	自分ひとり	4		9	JR美浜駅 エリア
福井	2025/5/17 13:20	福井県	女	50代		分からない/無回答	その他家族	5		10	越前そばの里 エリア
福井	2025/5/17 13:11	大阪府	男	50代		100万円未満	自分ひとり	4	休む場所が少ない	6	かつやま恐竜の森 エリア
福井	2025/5/17 13:02	兵庫県	女	60代		200万円以上 300万円未満	夫婦2人	5		8	道の駅「西山公園」 エリア
福井	2025/5/17 13:01	大阪府	女	60代		200万円以上 300万円未満	夫婦2人	3		5	越前そばの里 エリア
福井	2025/5/17 12:58	兵庫県	女	60代		200万円以上 300万円未満	夫婦2人	4		8	道の駅「越前」 エリア
福井	2025/5/17 12:55	京都府	女	40代		100万円未満	その他家族	4		3	越前そばの里 エリア
福井	2025/5/17 12:46	福井県	男	60代		分からない/無回答	夫婦2人	5		8	越前そばの里 エリア
福井	2025/5/17 12:45	愛知県	女	60代		100万円未満	夫婦2人	5		9	はたや記念館 ゆめおーれ勝山 エリア
福井	2025/5/17 12:44	福井県	男	30代		500万円以上 600万円未満	小学生以下連れの家族	5		10	越前そばの里 エリア
福井	2025/5/17 12:43	京都府	男	30代		400万円以上 500万円未満	小学生以下連れの家族	4	お風呂最高です	8	道の駅「シーサイド高浜」 エリア
福井	2025/5/17 12:42	愛知県	女	60代		100万円未満	夫婦2人	5		9	福井駅前 エリア
福井	2025/5/17 12:28	岐阜県	女	60代		500万円以上 600万円未満	夫婦2人	4	道路が良くなっていた	7	道の駅「越前」 エリア
福井	2025/5/17 12:25	福井県	男	30代		800万円以上 900万円未満	小学生以下連れの家族	5		10	かつやま恐竜の森 エリア
福井	2025/5/17 12:23	兵庫県	男	20代		分からない/無回答	恋人	4		8	越前そばの里 エリア
福井	2025/5/17 12:19	福井県	女	40代		300万円以上 400万円未満	夫婦2人	4	施設内が広くゆとりがあって良い	8	越前そばの里 エリア
福井	2025/5/17 12:18	東京都	女	30代		分からない/無回答	小学生以下連れの家族	5		10	かつやま恐竜の森 エリア
福井	2025/5/17 12:15	富山県	男	40代		600万円以上 700万円未満	自分ひとり	4		7	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/5/17 12:10	福井県	女	40代		300万円以上 400万円未満	夫婦2人	3		7	道の駅「シーサイド高浜」 エリア
